Item ID,Item Name,Category,Stock Quantity,Min Threshold
62d98dbe-98e9-47c6-9f9a-a7b856c4e08e,Collection Vote,Toys,25,27
5a5899f9-10c5-4bfb-840f-1d38adcc6c24,Customer Fast,Clothing,42,17
f28e4335-5abf-4227-a6ca-cd6330d76760,Return Establish,Office Supplies,24,16
c9bf2d88-ad4b-48b3-a60b-964f8731837c,Interest More,Electronics,9,26
0b20516d-a452-410b-b8e4-03e76a5ecb9f,Moment So,Office Supplies,63,30
cf6834ed-560c-4fe2-bf14-bb7073c18fee,Tree Marriage,Toys,87,18
3734fe53-26df-42a6-99f8-b6fd2f3baa63,Accept Them,Home Goods,27,28
210f0652-6686-4d01-9e0a-75da4761c1b3,Bag Administration,Clothing,97,13
6912cee7-c87d-46d6-b631-01399a49d7f5,Public Each,Home Goods,49,25
4294df09-62b9-40ae-aaee-82caa828fbcb,Daughter Study,Clothing,4,15
a1462f04-c6dc-4e36-90bc-b2f358a008bb,Different Wind,Toys,80,10
a9359d7c-eb11-4cf4-b22e-06962ba720ab,Return Though,Office Supplies,56,18
a090fcf8-18e5-41b1-bccf-ae1a9b70af8b,Situation Occur,Electronics,86,12
32d8cc0b-fe09-476a-a0f5-5e7b1d0aaf3b,Statement Court,Electronics,53,12
9b0c194f-b80c-4a72-9bbb-cc3d8ba24a90,Rock Claim,Office Supplies,72,24
b80be5cc-7f57-4189-a7c0-09d44adb2ed7,Opportunity Pull,Toys,43,26
d4d965b1-28bb-4bb8-a3e4-c68b8deac628,Dog Parent,Toys,5,11
3bcb80cf-1329-4f7b-90e8-171535d18e22,Capital If,Clothing,52,20
05d9829c-5a95-4f1b-a923-e6c600b0d2b2,Consumer Natural,Office Supplies,35,17
2af9a14a-7989-4f60-b383-8b829efee4e5,Third Southern,Office Supplies,46,19
fe60e7fe-4bbc-4e12-bdb5-be2c99886e94,Indeed Least,Clothing,45,25
11968000-d339-4d5e-ab6a-35d831855626,News Quickly,Clothing,7,25
b900769c-49fe-424e-a38b-3bc62f8a1950,Record Customer,Clothing,24,16
8f442f10-44ac-43a0-ac86-08b68bae9832,Tonight Put,Clothing,53,15
cc7cde76-31e7-470a-bf20-231d7abe3ba3,For Medical,Clothing,74,18
dd8be8b0-ac3f-4c1b-b992-81aa1f94cf91,Final Great,Electronics,20,28
d6b9d3b0-de2c-4a87-88a9-227cff756bde,Hospital Nothing,Electronics,84,19
75a582f6-b8c2-4378-b802-fcac676b4538,Area Most,Electronics,40,26
d86641ff-bb92-440f-acb3-f47036b9ccd0,Ability Nearly,Office Supplies,27,14
3c664539-d335-4eb4-b206-8a18a6be76c6,Fight Operation,Clothing,47,21
5e6bf785-41b9-4fed-8c1b-7e6e822f064d,Pattern Believe,Toys,63,11
1bb110e3-c70d-414f-9140-2706f2a58a35,Nation With,Home Goods,51,12
cfb9ddce-f297-4302-8f58-1c4e2d0482c4,Radio According,Electronics,21,20
3092a005-c991-4c29-917b-065599bec2f4,Local Pm,Toys,84,26
25cec83e-ac6d-4813-bbc6-85f25e43be42,Simple Direction,Toys,45,19
f6839075-1b2d-4ded-bc05-6c485074a142,Major Road,Home Goods,70,18
856239f5-7797-4811-b146-c4d008795b41,Wish True,Office Supplies,8,16
1e9237fa-1733-4d39-a93c-143e63286814,During Treatment,Home Goods,66,21
a0f0731d-65de-4867-b821-6e7542c724e6,Soon Rock,Electronics,57,26
9ec0c727-e257-4cad-8d69-1baf79ea7af3,Form Just,Electronics,38,21
2daceaee-d061-4076-8e3d-aab476b4be0d,Speech Board,Home Goods,46,22
5c4bd353-b3b8-4def-9d81-827b75dacbae,Couple House,Clothing,86,11
0acd7095-b2eb-4938-a9ef-2f01a61751b6,Movement General,Toys,12,27
12f58ca3-a29c-4792-9c21-acc5bf062974,I Point,Toys,34,19
613d9969-8377-4fdd-bf5b-31be1a806fd2,Step Room,Electronics,94,17
ba5c5cf4-de30-4fd5-82e9-88b1288d22e3,Family Everything,Clothing,77,15
a6f71280-b159-4e06-822a-f4fe036422eb,Country International,Office Supplies,54,23
bfeaf3e1-3124-4f10-8ab1-6b62b5740200,Six Agree,Office Supplies,10,15
d351f1d8-88cf-4a69-9c58-77166deee6e1,While Stand,Toys,11,10
9d0014e9-286f-4778-a259-966f19353a43,West Computer,Office Supplies,34,15
